name,general,specify,enrollment,language,rating,level,duration,instructor,instructor_rate,offered by
Access Control Concepts,Information Technology,Security,4239,English,4.8,Beginner,4,(ISC)² Education & Training,4.6,ISC2
Access Controls ,Information Technology,Security,8031,English,4.7,Beginner,14,(ISC)² Education & Training,4.7,ISC2
An Introduction to Accessibility and Inclusive Design,Information Technology,Support and Operations,16137,English,4.7,Beginner,15,"Lori Lane, Tania Heap, Marc Thompson",4.7,University of Illinois at Urbana-Champaign
Accessibility to the Scenic Arts,Arts and Humanities,Music and Art,2833,English,4.7,Intermediate,16,"Anna Matamala, Sharon Black, Pilar Orero",4.8,Universitat Autònoma de Barcelona
Acción Comunitaria. Enfoques para la transformación social,Social Sciences,Governance and Society,13926,Spanish,4.8,Beginner,16,"Joel Martí Olivé, Oscar Rebollo Izquierdo, Ismael Blanco, Raquel Gallego, Ernesto Morales Morales, Joan Subirats Humet, Nicolás Barbieri Muttis, Begoña Román Maestre, Margarita León, Magalí Permanyer de Swert, Nuria Reguero Jimenez",4.7,Universitat Autònoma de Barcelona
Account Management & Sales Force Design,Business,Leadership and Management,19733,English,4.5,Other,14,"Michael F. Walsh, Ph.D., Emily C. Tanner, Ph.D., Suzanne C. Bal",4.7,West Virginia University
Accountability y gestión del desempeño,Personal Development,Personal Development,2294,Spanish,4.7,Beginner,12,"Pablo Perez-Duarte, Coach Pepe Villacis",4.9,UBITS
Accounting for Decision Making,Business,Finance,34117,English,4.7,Intermediate,29,Greg Miller,4.8,University of Michigan
Accounting Analysis II: Accounting for Liabilities and Equity,Business,Business Essentials,9383,English,4.7,Intermediate,47,Scott Mendoza,4.9,University of Illinois at Urbana-Champaign
Accounting Analysis II: Measurement and Disclosure of Liabilities,Business,Business Essentials,10118,English,4.6,Intermediate,33,Scott Mendoza,4.6,University of Illinois at Urbana-Champaign
Accounting Analytics,Business,Finance,107398,English,4.5,Other,9,"Christopher D. Ittner, Brian J Bushee",4.6,University of Pennsylvania
Fundamentals of Accounting and Reporting,Business,Finance,9968,English,4.6,Beginner,43,Tally Education Pvt. Ltd,4.5,Tally Education
Assets in Accounting,Business,Business Essentials,38976,English,4.4,Beginner,18,Intuit Academy Team,4.5,Intuit
Completing the Accounting Cycle,Business,Business Essentials,4570,English,4.6,Other,9,Andrea Eliassen,4.9,"University of California, Irvine"
Accounting Data Analytics with Python,Business,Business Essentials,11561,English,4.3,Intermediate,42,"Linden Lu, Ronald Guymon",4.2,University of Illinois at Urbana-Champaign
محاسبة المخزون | Accounting for inventory,Business,Finance,13926,Arabic,4.7,Beginner,1,Alfaisal.KLD,4.7,Alfaisal University | KLD
 Accounting for Mergers and Acquisitions: Foundations,Business,Finance,3497,English,4.8,Intermediate,8,Oktay Urcan,4.8,University of Illinois at Urbana-Champaign
"Managerial Accounting: Cost Behaviors, Systems, and Analysis",Business,Finance,53843,English,4.7,Intermediate,20,"Gary Hecht, Ph.D.",4.7,University of Illinois at Urbana-Champaign
Fundamentals of Accounting Capstone,Business,Business Essentials,4000,English,4.3,Beginner,38,"Sharon P. Cox, Ph.D.",4.5,University of Illinois at Urbana-Champaign
Accounting Analysis I: The Role of Accounting as an Information System,Business,Business Essentials,35872,English,4.8,Intermediate,28,Gerlando Lima,4.7,University of Illinois at Urbana-Champaign
المبادئ المحاسبية في التقارير والقوائم المالية,Business,Finance,2585,Arabic,4.7,Beginner,1,Alfaisal.KLD,4.8,Alfaisal University | KLD
Principles of Accounts Payable and Receivable Management ,Business,Finance,4580,English,4.5,Intermediate,35,Tally Education Pvt. Ltd,4.6,Tally Education
تحقيق السعادة في بيئة العمل | Achieving Happiness at Work,Social Sciences,Governance and Society,2308,Arabic,4.9,Beginner,4,Alfaisal.KLD,4.5,Alfaisal University | KLD
Acing the Product Management Interview,Computer Science,Design and Product,6229,English,4.7,Beginner,14,Nancy Wang,4.7,Advancing Women in Tech
"Act on Climate: Steps to Individual, Community, and Political Action",Physical Science and Engineering,Environmental Science and Sustainability,16130,English,4.8,Beginner,25,Michaela Zint,4.8,University of Michigan
Digital business - Act on the digital world,Business,Entrepreneurship,13926,English,4.6,Other,10,"Valérie Fernandez, École Polytechnique, Thomas Houy",4.3,Institut Mines-Télécom
ART of the MOOC: Activism and Social Movements,Arts and Humanities,Music and Art,20576,English,4.5,Other,9,"Duke University, Nato Thompson, Pedro Lasch",4.4,Creative Time 
Activism in Sports and Culture  ,Arts and Humanities,History,1539,English,4.6,Beginner,15,Chris Webber,5.0,Morehouse College
ART of the MOOC: Activismo y Movimientos Sociales,Arts and Humanities,Music and Art,7649,Spanish,4.5,Other,15,"Duke University, Nato Thompson, Pedro Lasch",4.2,Creative Time 
Activity Design with PhET Simulations for STEM Education,Social Sciences,Education,1782,English,5.0,Intermediate,22,"Rebecca Vieyra, Zachariah Mbasu",4.8,University of Colorado Boulder
"Activos, amenazas y vulnerabilidades",Computer Science,Computer Security and Networks,13926,Spanish,4.6,Beginner,22,Google Career Certificates,4.7,Google
Actúa ante el dolor crónico,Health,Patient Care,19065,Spanish,4.6,Beginner,23,"Enric Pineda, Laura Fernández",4.7,Universitat Autònoma de Barcelona
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Health,Nutrition,52238,Spanish,4.9,Other,11,José Antonio Márquez López,4.9,Universidad Nacional Autónoma de México
Acupressure,Health,Patient Care,2681,English,4.8,Beginner,15,"Kim Christensen, Megan Voss",4.9,University of Minnesota
 Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale,Health,Patient Care,2887,English,4.8,Intermediate,12,"Frances Xavier Jiménez Fabregas, Montse Gorchs Molist, Natalia Perez de la Ossa",4.7,Universitat de Barcelona
Adaptability and Resiliency,Business,Business Essentials,15503,English,4.7,Beginner,8,Laurie Cozart,4.7,"University of California, Davis"
The Addicted Brain,Health,Basic Science,176090,English,4.6,Beginner,21,"Michael Kuhar, Ph.D.",4.8,Emory University
Addiction Treatment: Clinical Skills for Healthcare Providers,Health,Patient Care,56003,English,4.8,Beginner,14,"Ellen Edens, Jeanette M. Tetrault, Mary Lindsay Powell, Robert Heimer, Shannon Drew, Elizabeth Roessler, Robert Krause",4.8,Yale University
Additive Manufacturing,Business,Business Strategy,3869,English,4.7,Beginner,12,M.S. Krishnan,4.8,University of Michigan
Address Business Issues with Data Science ,Data Science,Data Analysis,2687,English,4.6,Intermediate,6,"Stacey McBrine, Megan Smith Branch, Sarah Haq",4.2,CertNexus
ADHD: Everyday Strategies for Elementary Students,Social Sciences,Education,74145,English,4.7,Beginner,8,"Greg Fabiano, University at Buffalo",4.7,The State University of New York
Adjectives and Adjective Clauses,Language Learning,Learning English,57465,English,4.8,Other,24,"Tamy Chapman, Judy Hu, Brad Gilpin",4.9,"University of California, Irvine"
Administração de Sistemas e Serviços de Infraestrutura de TI,Information Technology,Support and Operations,10340,Portuguese (Brazilian),4.9,Beginner,26,"Onlea support, Google",4.8,Google
Administração Financeira,Business,Finance,54426,Portuguese (Brazilian),4.8,Beginner,22,Adalto Barbaceia Gonçalves,4.8,Insper
Administración ágil de proyectos,Social Sciences,Governance and Society,13926,Spanish,4.7,Intermediate,8,Oscar Antonio Novelo Barón,4.7,Tecnológico de Monterrey
Administración de Proyectos Project,Business,Leadership and Management,10191,Spanish,4.7,Other,4,"Dr. Filiberto González Hernández, Tecnológico de Monterrey",4.6,"University of California, Irvine"
Administración de Recursos Humanos,Business,Leadership and Management,21396,Spanish,4.8,Beginner,10,Esteban Maccari,4.7,Universidad de Palermo
Administración de sistemas y servicios de infraestructura de TI,Information Technology,Support and Operations,33820,Spanish,4.9,Beginner,26,"Google Career Certificates, Onlea support",4.8,Google
Administración Estratégica y Emprendedora,Business,Entrepreneurship,38583,Spanish,4.7,Other,7,"Doug E Thomas, Ph.D.",4.7,University of New Mexico
Administración de las Tecnologías de la Información,Information Technology,Support and Operations,4559,Spanish,4.8,Beginner,11,Roberto de Gori,4.8,Universidad de Palermo
Administrasi Sistem dan Layanan Infrastruktur TI,Information Technology,Support and Operations,15265,Indonesian,4.9,Beginner,28,"Google Career Certificates, Onlea support",4.8,Google
Administration système et services d’infrastructure informatique,Information Technology,Support and Operations,13926,French,4.7,Beginner,28,"Google Career Certificates, Onlea support",4.7,Google
Administration système et services d’infrastructure informatique,Information Technology,Support and Operations,13926,French,4.6,Beginner,28,Google Career Certificates,4.8,Google
Administración financiera y su función en la empresa ,Business,Finance,43471,Spanish,4.8,Intermediate,10,Norman Wolf del Valle,4.9,Universidad Nacional Autónoma de México
ADP Accountant Connect Certification,Business,Finance,2636,English,4.4,Intermediate,4,Rootworks,4.7,"Automatic Data Processing, Inc. (ADP)"
Big Data: adquisición y almacenamiento de datos,Data Science,Data Analysis,17466,Spanish,4.4,Intermediate,10,"Andrés Cencerrado, Antonio Espinosa, Tomás Margalef",4.5,Universitat Autònoma de Barcelona
Advanced Algorithms and Complexity,Computer Science,Algorithms,78370,English,4.6,Advanced,27,"Daniel M Kane, Michael Levin, Neil Rhodes, Alexander S. Kulikov",4.5,University of California San Diego
Advanced Application Management with Red Hat OpenShift,Information Technology,Cloud Computing,1931,English,4.6,Intermediate,14, Marek Czernek,4.7,Red Hat
Advanced Chemistry,Physical Science and Engineering,Chemistry,88435,English,4.7,Other,16,"Dr. Kim Woodrum, Dr. Allison Soult",4.7,University of Kentucky
Advanced Clinical Data Science,Data Science,Data Analysis,2625,English,4.8,Intermediate,4,"Laura K. Wiley, PhD, Michael G. Kahn, MD, PhD",4.4,University of Colorado System
Advanced Competitive Strategy,Business,Business Strategy,63381,English,4.7,Other,11,Tobias Kretschmer,4.8,Ludwig-Maximilians-Universität München (LMU)
高阶竞争策略（中文版）,Business,Business Strategy,13693,Chinese (Simplified),4.8,Other,9,Tobias Kretschmer,4.5,Ludwig-Maximilians-Universität München (LMU)
Advanced Computer Vision with TensorFlow,Data Science,Machine Learning,31265,English,4.8,Intermediate,19,"Laurence Moroney, Eddy Shyu",4.8,DeepLearning.AI
Advanced Creative Thinking and AI: Tools for Success,Personal Development,Personal Development,13926,English,4.8,Advanced,8,Peter Childs,4.7,Imperial College London
Advanced Data Modeling,Information Technology,Data Management,7022,English,4.0,Intermediate,18,Taught by Meta Staff,4.3,Meta
Advanced Data Science Capstone,Data Science,Machine Learning,16089,English,4.6,Advanced,8,Romeo Kienzler,4.2,IBM
Advanced Data Structures in Java,Computer Science,Algorithms,79344,English,4.8,Intermediate,28,"Leo Porter, Christine Alvarado, Mia Minnes",4.7,University of California San Diego
Advanced Deployment Scenarios with TensorFlow,Computer Science,Software Development,22549,English,4.8,Intermediate,13,Laurence Moroney,4.9,DeepLearning.AI
Data Visualization with Advanced Excel,Data Science,Data Analysis,95375,English,4.8,Beginner,15,Alex Mannella,4.7,PwC
Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements,Business,Business Essentials,17321,English,4.7,Advanced,24,"Michael Kustanovich, CPA",4.5,University of Illinois at Urbana-Champaign
Advanced Functional Ceramics,Physical Science and Engineering,Environmental Science and Sustainability,4848,English,4.7,Other,16,Lee Kyu Hyoung,4.6,Yonsei University
Advanced Grammar & Punctuation Project,Language Learning,Learning English,12195,English,4.8,Advanced,20,"Tamy Chapman, Brad Gilpin",4.7,"University of California, Irvine"
