name,field,enrollment,language,rating,level,duration,description,skill,instructor,offered by
"Fundamentals of Leadership, with Goldman Sachs 10,000 Women",Business > Entrepreneurship,"24,682 already enrolled",Taught in English,4.7,,Approx. 3 hours to complete,Examine your leadership style and analyze how your leadership style affects your business.  Examine and summarize your core values and assumptions.  Assess your company culture reflecting upon how it affects your business.  Create a Vision Statement for your business and plan its implementation.  ,"Leadership, Vision Statement Development, Business Culture Analysis, Strategic Planning","4.7  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Goldman Sachs 10,000 Women के साथ, नेतृत्व के मूल सिद्धांत",Business > Entrepreneurship,,Taught in Hindi,,,Approx. 3 hours to complete,अपनी नेतृत्व शैली की जांच करना और विश्लेषण करना कि आपकी नेतृत्व शैली आपके व्यवसाय को कैसे प्रभावित करती है।अपने बुनियादी मूल्यों और मान्यताओं की जांच करना और उन्हें संक्षेप में प्रस्तुत करना।अपनी कंपनी की संस्कृति का आकलन करना कि यह आपके व्यवसाय को कैसे प्रभावित करता है।अपने व्यवसाय के लिए एक लक्ष्य विवरण बनाना और उसके अमल करने की योजना बनाना।,"व्यापार संस्कृति विश्लेषण, लक्ष्य विवरण बनाना, रणनीतिक योजना, नेतृत्व","None {'Goldman Sachs 10,000 Women'}",Goldman Sachs
"Fundamentals of Customers and Competition, with Goldman Sachs 10,000 Women",Business > Entrepreneurship,"14,501 already enrolled",Taught in English,4.8,,Approx. 4 hours to complete,Define and categorize your customers and their needs.  Compare your business to competitors to define your competitive advantage.  Express your Customer Value Proposition (CVP).Develop a pricing strategy for your business.,"Customer Value Proposition (CVP) Development, Strategic Pricing, Competitive Analysis, Competitive Advantage Analysis","4.6  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Goldman Sachs 10,000 Women के साथ, ग्राहकों और प्रतिस्पर्धा के मूल सिद्धांत",Business > Entrepreneurship,,Taught in Hindi,,,Approx. 4 hours to complete,अपने ग्राहकों और उनकी जरूरतों को परिभाषित और श्रेणीबद्ध करना।अपने प्रतिस्पर्धी लाभ को परिभाषित करने के लिए अपने व्यवसाय की तुलना प्रतिस्पर्धियों से करना।अपना ग्राहक मूल्य प्रस्ताव (ग्रा. मू. प्र.) व्यक्त करना।अपने व्यवसाय के लिए मूल्य निर्धारण रणनीति विकसित करना।,"सामरिक मूल्य निर्धारण, प्रतिस्पर्धी विश्लेषण, ग्राहक मूल्य प्रस्ताव (ग्रा. मू. प्र.) विकास, प्रतिस्पर्धात्मक लाभ विश्लेषण","None {'Goldman Sachs 10,000 Women'}",Goldman Sachs
"Fundamentals of Financial Planning, with Goldman Sachs 10,000 Women",Business > Entrepreneurship,"25,059 already enrolled",Taught in English,4.7,,Approx. 3 hours to complete,"Evaluate your business’s cash flow cycle, and identify areas for improvement.Review financial assumptions as they relate to business opportunities.Develop a Cash Flow Forecast for your opportunity to assess its financial feasibility.Assess your opportunity in terms of key financial measures.","Financial Management, Cash Flow Cycle Analysis, Strategic Planning, Cash Flow Forecast Analysis","4.7  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Goldman Sachs 10,000 Women के साथ, वित्तीय योजना के मूल सिद्धांत",Business > Entrepreneurship,,Taught in Hindi,,,Approx. 3 hours to complete,"अपने व्यवसाय के नकदी प्रवाह चक्र का मूल्यांकन करना, और सुधार के लिए क्षेत्रों की पहचान करना।वित्तीय मान्यताओं की समीक्षा करना क्योंकि वे व्यावसायिक अवसरों से संबंधित हैं।इसकी वित्तीय व्यवहार्यता का आकलन करने के अपने अवसर के लिए नकदी प्रवाह पूर्वानुमान विकसित करना।प्रमुख वित्तीय उपायों के संदर्भ में अपने अवसर का आकलन करना।","वित्तीय प्रबंधन, नकदी प्रवाह पूर्वानुमान विश्लेषण, नकदी प्रवाह चक्र विश्लेषण, रणनीतिक योजना","None {'Goldman Sachs 10,000 Women'}",Goldman Sachs
"Fundamentals of Sales and Marketing, with Goldman Sachs 10,000 Women",Business > Entrepreneurship,"56,690 already enrolled",Taught in English,4.6,,Approx. 4 hours to complete,"Strengthen your business's brand, and set clear marketing goals and strategies.Explore various digital marketing tools that you can use to reach your customer segments.Refine your sales process, and measure sales success.Identify appropriate metrics to measure brand, marketing and sales effectiveness.","Market Research, Brand Identity and Management, Marketing Strategy Development, Value Proposition Analysis","4.6  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Goldman Sachs 10,000 Women के साथ, विक्रय और विपणन के मूल सिद्धांत",Business > Entrepreneurship,,Taught in Hindi,,,Approx. 4 hours to complete,"अपने व्यवसाय के ब्रांड को मजबूत करना, और स्पष्ट विपणन लक्ष्य और रणनीतियाँ निर्धारित करना।विभिन्न डिजिटल विपणन उपकरणों का अन्वेषण करना जिनका उपयोग आप अपने ग्राहक खंडों तक पहुंचाने के लिए कर सकते हैं।अपनी विक्रय प्रक्रिया को परिष्कृत करना, और विक्रय की सफलता को नापना।ब्रांड, विपणन और विक्रय प्रभावशीलता को मापने के लिए उपयुक्त मेट्रिक्स की पहचान करना।","विपणन रणनीति विकास, मूल्य प्रस्ताव विश्लेषण, बाजार अनुसंधान, ब्रांड पहचान और प्रबंधन","None {'Goldman Sachs 10,000 Women'}",Goldman Sachs
"Fundamentals of Operations, with Goldman Sachs 10,000 Women",Business > Entrepreneurship,"14,877 already enrolled",Taught in English,4.6,,Approx. 3 hours to complete,"Identify the potential operational challenges as businesses grow.Recognize how embracing technology can support business growth.Develop detailed maps of key processes in your operational business.Appraise the operational strengths and weaknesses of your business, and their potential impact on its growth.","Process Management, Operations Management, Business Modelling","4.4  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Goldman Sachs 10,000 Women के साथ, संचालन के मूल सिद्धांत",Business > Entrepreneurship,,Taught in Hindi,,,Approx. 3 hours to complete,व्यवसायों के बढ़ने पर संभावित परिचालन चुनौतियों की पहचान करना।पहचानना कि प्रौद्योगिकी को अपनाने से व्यवसाय के विकास में सहायता कैसे मिल सकती है।अपने परिचालन व्यवसाय में प्रमुख प्रक्रियाओं के विस्तृत नक्शे विकसित करना।अपने व्यवसाय की परिचालन शक्तियों और कमजोरियों और इसके विकास पर उनके संभावित प्रभाव का मूल्यांकन करना।,"संचालन प्रबंधन, बिजनेस मॉडलिंग, प्रक्रिया प्रबंधन","None {'Goldman Sachs 10,000 Women'}",Goldman Sachs
"Fundamentals of Management, with Goldman Sachs 10,000 Women",Business > Entrepreneurship,"25,867 already enrolled",Taught in English,4.7,,Approx. 4 hours to complete,"Evaluate effective hiring practices.Develop effective practices of performance management: evaluating, developing, coaching, and delegating.Plan how you will achieve your visionIdentify how you can influence change in your business’s culture.","Communication, Leadership, Business Culture Development, Performance Management","4.7  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Goldman Sachs 10,000 Women के साथ, प्रबंधन के मूल सिद्धांत",Business > Entrepreneurship,,Taught in Hindi,,,Approx. 4 hours to complete,"प्रभावी नियुक्ति प्रथाओं का मूल्यांकन करना।प्रदर्शन प्रबंधन की प्रभावी प्रथाओं का विकास करना: मूल्यांकन, विकास, कोचिंग देना और सौंपना।अपने दृष्टिकोण को प्राप्त करने की योजना बनाना।अपने व्यवसाय की संस्कृति में परिवर्तन को प्रभावित करने की पहचान करना।","संचार, व्यापार संस्कृति विकास, निष्पादन प्रबंधन, नेतृत्व","None {'Goldman Sachs 10,000 Women'}",Goldman Sachs
"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Business > Entrepreneurship,"13,626 already enrolled",Taught in English,4.6,,Approx. 3 hours to complete,"Discover how strategic financial choices can support growth.  Evaluate your business’s financial profile, and plan actions to improve it.Apply your understanding of the key factors important to funders and investors, and how to communicate with them effectively.Discover potential types of funding for your business and identify the actions needed to be prepared for future funding requirements.","Financial Management, Strategic Financial Planning, Funding Requirement Analysis, Funding Applications","4.6  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Goldman Sachs 10,000 Women के साथ, निधिकरण के मूल सिद्धांत",Business > Entrepreneurship,,Taught in Hindi,,,Approx. 3 hours to complete,"किस तरह वित्तीय के रणनीतिक विकल्प विकास का समर्थन करना।अपने व्यवसाय की वित्तीय प्रोफ़ाइल का मूल्यांकन करना, और इसे सुधारने के लिए कार्यों की योजना बनाना।अपने निधिकर्ताओं और निवेशकों के लिए महत्वपूर्ण कारकों और उनके साथ प्रभावी ढंग से संवाद करने के तरीके खोजना।अपने व्यवसाय के लिए संभावित प्रकार के निधिकरण की खोज करना तथा भविष्य की निधिकरण आवश्यकताओं हेतु आवश्यक निर्देशों की पहचान करना।","वित्तीय प्रबंधन, निधिकरण की आवश्यकता का विश्लेषण, रणनीतिक वित्तीय योजना, निधिकरण के लिए आवेदन","None {'Goldman Sachs 10,000 Women'}",Goldman Sachs
"Expanda Seus Negócios com o 10,000 Women da Goldman Sachs",Business > Entrepreneurship,"2,136 already enrolled",Taught in Portuguese (Brazilian),5.0,,Approx. 3 hours to complete,Desenvolver sua comunidade e discutir o valor da aprendizagem entre pares.Explorar uma possível oportunidade de crescimento para o seu negócio e avaliar sua viabilidade.Descobrir o conteúdo e o processo de desenvolvimento do seu Plano de Crescimento de Negócios (PCN).Desenvolver sua Declaração de Oportunidade.,"Identificação de oportunidade, Pensamento estratégico, Análise de negócios, Empreendedorismo","4.8  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de Negociação com o 10,000 Women da Goldman Sachs",Business > Entrepreneurship,,Taught in Portuguese (Brazilian),4.9,,Approx. 3 hours to complete,"Abordar a importância da preparação e da definição de metas na negociação.Analisar como estabelecer afinidade, confiança e respeito na mesa de negociação.Diferenciar interesses e posições, e encontrar soluções criativas para com os interesses das partes, permitindo comprometimento e satisfação mútua.Identificar e avaliar os tipos e as características das vantagens nas negociações.","Comunicação, Negociação, Inteligencia emocional, Negociar, Gestão de relacionamento","4.8  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de Finanças da Empresa com o 10,000 Women da Goldman Sachs",Business > Entrepreneurship,"1,722 already enrolled",Taught in Portuguese (Brazilian),4.9,,Approx. 3 hours to complete,"Definir e discutir os fundamentos das demonstrações financeiras: ativos, passivos, investimentos em ações, receita e despesas.Interpretar demonstrações financeiras chave (Demonstração do Resultado do Exercício e Balanço Patrimonial) para facilitar decisões de negócios.Identificar os principais índices de negócios que podem ser calculados usando a Demonstração do Resultado do Exercício e o Balanço Patrimonial.","Análise de indicador financeiro, Uso e análise de demonstrações financeiras, Terminologia financeira, Análise da Demonstração do Resultado do Exercício, Análise do Balanço Patrimonial","5.0  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de Liderança com o 10,000 Women da Goldman Sachs",Business > Entrepreneurship,"2,338 already enrolled",Taught in Portuguese (Brazilian),4.8,,Approx. 3 hours to complete,"Avaliar seu estilo de liderança e analisar como ele afeta sua empresa.Analisar e resumir seus valores essenciais e pressupostos.Avaliar a cultura da sua empresa, refletindo sobre como ela afeta seus negócios.Criar uma Declaração de Visão para sua empresa e planejar a implementação.","Desenvolvimento da Declaração de Visão, Liderança, Visão estratégica, Análise da cultura da empresa","4.8  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de Clientes e Concorrência com o 10,000 Women da Goldman Sachs",Business > Entrepreneurship,,Taught in Portuguese (Brazilian),4.9,,Approx. 4 hours to complete,Definir e categorizar seus clientes e suas necessidades.Comparar sua empresa com os concorrentes para definir sua vantagem competitiva.Expressar sua Proposta de Valor para o Cliente (PVC).Desenvolver uma estratégia de preços para sua empresa.,"Análise competitiva, Análise de vantagem competitiva, Preço estratégico, Desenvolvimento da Proposta de Valor para o Cliente (PVC)","4.5  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de Planejamento Financeiro com o 10,000 Women da Goldman Sachs",Business > Entrepreneurship,,Taught in Portuguese (Brazilian),4.8,,Approx. 3 hours to complete,Avaliar o ciclo de fluxo de caixa da sua empresa e identificar áreas para melhorias.Analisar as suposições financeiras relacionadas às oportunidades de negócios.Desenvolver uma Previsão de Fluxo de Caixa para a sua oportunidade para avaliar a sua viabilidade financeira.Avaliar sua oportunidade em termos das principais medidas financeiras.,"Análise da Previsão de Fluxo de Caixa, Análise de ciclo de fluxo de caixa, Gestão financeira, Planejamento estratégico","4.8  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de Vendas e Marketing com o 10,000 Women da Goldman Sachs",Business > Entrepreneurship,"2,246 already enrolled",Taught in Portuguese (Brazilian),4.9,,Approx. 4 hours to complete,"Fortalecer sua marca comercial e definir metas e estratégias de marketing claras.Explorar várias ferramentas de marketing digital que você pode usar para alcançar seus segmentos de clientes.Refinar o processo de vendas e medir o sucesso das vendas.Identificar métricas apropriadas para medir a eficiência da marca, do marketing e das vendas.","Gerenciamento e identidade da marca, Desenvolvimento da estratégia de marketing, Análise da proposta de valor, Pesquisa de marketing","None {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de Operações com o 10,000 Women da Goldman Sachs",Business > Entrepreneurship,,Taught in Portuguese (Brazilian),4.9,,Approx. 4 hours to complete,Identificar os possíveis desafios operacionais à medida que a empresa cresce.Reconhecer como a adoção da tecnologia pode dar suporte ao crescimento dos negócios.Desenvolver mapas detalhados dos principais processos em seu negócio operacional.Avaliar os pontos fortes e fracos operacionais de seus negócios e o possível impacto deles sobre o crescimento.,"Modelagem de negócios, Gestão de operações, Gestão de processos","None {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de Gerenciamento com o 10,000 Women da Goldman Sachs",Business > Entrepreneurship,,Taught in Portuguese (Brazilian),4.9,,Approx. 4 hours to complete,"Planejar como você alcançará sua visão.Avaliar práticas eficazes de contratação.Desenvolver práticas eficazes de gestão de desempenho: avaliação, desenvolvimento, treinamento e delegação.Identificar como você pode influenciar a mudança na cultura da empresa.","Comunicação, Desenvolvimento da cultura da empresa, Liderança, Gestão de desempenho","None {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de Financiamento com o 10,000 Women da Goldman Sachs",Business > Entrepreneurship,,Taught in Portuguese (Brazilian),4.8,,Approx. 3 hours to complete,"Descobrir como escolhas financeiras estratégicas podem auxiliar no crescimento.Avaliar o perfil financeiro da sua empresa e planejar ações para melhorá-lo.Aplicar sua compreensão dos fatores-chave importantes para financiadores e investidores, e como se comunicar com eles de forma eficaz.Descobrir possíveis tipos de financiamento para o negócio e identificar as ações necessárias para futuras necessidades de financiamento.","Gestão financeira, Planejamento financeiro estratégico, Pedidos de financiamento, Análise de necessidade de financiamento","None {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Haz Crecer Tu Negocio con Goldman Sachs 10,000 Women",Business > Entrepreneurship,"2,471 already enrolled",Taught in Spanish,4.9,,Approx. 3 hours to complete,Desarrollar tu comunidad y analizar el valor del aprendizaje entre compañeras.Explorar una posible oportunidad de crecimiento para tu negocio y evaluar su factibilidad.Descubrir el contenido y el proceso de desarrollo de tu Plan de Crecimiento Empresarial (PCE).Desarrollar tu declaración de oportunidad.,"Espíritu emprendedor, Pensamiento estratégico, Identificación de oportunidades, Analítica empresarial","4.9  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de la Negociación con Goldman Sachs 10,000 Women",Business > Entrepreneurship,"1,743 already enrolled",Taught in Spanish,4.7,,Approx. 4 hours to complete,"Debate sobre la importancia de la preparación y el establecimiento de objetivos para una negociación.Aprende a establecer una buena relación, confianza y respeto durante las negociaciones.Identifica las diferencias entre intereses y posturas, y encuentra soluciones creativas que logren un compromiso y el beneficio mutuo.Identifica y evalúa los tipos de influencia en las negociaciones y sus características.","Negociación, Inteligencia emocional, Administración de relaciones, Estilos de negociación, Comunicación","4.8  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de los Aspectos Financieros del Negocio con Goldman Sachs 10,000 Women",Business > Entrepreneurship,,Taught in Spanish,4.9,,Approx. 3 hours to complete,"Definir y analizar los componentes básicos de los estados financieros: activos, pasivos, capital, ganancias, ganancias y gastos.Interpretar los dos principales estados financieros (Estado de Resultados y Balance General) para impulsar las decisiones empresariales.Identificar los principales indicadores empresariales que se pueden calcular usando tu Estado de Resultados o Balance General.","Análisis de indicadores financieros, Análisis de Estado de Resultados, Terminología financiera, Uso y análisis de estados financieros, Análisis de Balance General","4.9  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos del Liderazgo con Goldman Sachs 10,000 Women",Business > Entrepreneurship,"2,405 already enrolled",Taught in Spanish,4.8,,Approx. 3 hours to complete,Examina tu estilo de liderazgo y analiza cómo afecta a tu empresa.Examina y resume tus valores fundamentales y suposiciones.Evalúa la cultura de tu empresa reflexionando sobre cómo afecta al negocio.Crea una Declaración de Visión para tu empresa y planifica su implementación.,"Visión estratégica, Liderazgo, Análisis de cultura empresarial, Desarrollo de Declaración de Visión","4.8  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de los Clientes y la Competencia con Goldman Sachs 10,000 Women",Business > Entrepreneurship,,Taught in Spanish,4.9,,Approx. 4 hours to complete,Definir y clasificar a tus clientes y sus necesidades.Comparar tu empresa con los competidores para definir tu ventajas frente a ellos.Expresar la Propuesta de Valor para el Cliente (PVC).Desarrollar una estrategia de precios para la empresa.,"Análisis competitivo, Análisis de ventaja competitiva, Desarrollo de la Propuesta de Valor para el Cliente (PVC), Estrategia de precios","4.8  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de la Planificación Financiera con Goldman Sachs 10,000 Women",Business > Entrepreneurship,"1,609 already enrolled",Taught in Spanish,4.6,,Approx. 3 hours to complete,Evaluar el ciclo de flujo de caja de la empresa e identificar áreas de mejora.Revisar las suposiciones financieras en lo que se refiere a oportunidades de negocio.Desarrollar una Estimación de Flujo de Caja para tu oportunidad a fin de evaluar tu factibilidad financiera.Evaluar tu oportunidad en términos de medidas financieras clave.,"Análisis de ciclo de flujo de caja, Planificación estratégica, Análisis de Estimación de Flujo de Caja, Administración financiera","4.4  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de las Ventas y el Marketing con Goldman Sachs 10,000 Women",Business > Entrepreneurship,"6,382 already enrolled",Taught in Spanish,4.8,,Approx. 4 hours to complete,"Fortalece tu marca y establece objetivos y estrategias de marketing precisos.Examina varias herramientas digitales de marketing que puedes utilizar para llegar al segmento de clientes adecuado.Perfecciona tu proceso de ventas y mide su éxito.Identifica métricas apropiadas para medir la eficacia de las ventas, el marketing y tu marca.","Desarrollo de estrategia de marketing, Análisis de Propuesta de Valor, Evaluaciones de mercado, Identidad de tu marca","4.7  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Fundamentos de las Operaciones con Goldman Sachs 10,000 Women",Business > Entrepreneurship,,Taught in Spanish,4.8,,Approx. 4 hours to complete,Identificar los posibles desafíos operativos que se presenten durante el crecimiento empresarial.Reconocer cómo la implementación de tecnología puede fomentar el crecimiento empresarial.Desarrollar mapas detallados de los procesos fundamentales de tu negocio operativo.Evaluar las fortalezas y debilidades operativas de la empresa y el potencial impacto de esto en su crecimiento.,"Administración de operaciones, Modelos de negocios, Administración de procesos","4.6  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
